size,trial,adds,muls,time_seconds
751,10,283525,0,0.0756305
761,1,290997,0,0.011590417
761,2,290997,0,0.011102375
761,3,290997,0,0.010907458
761,4,290997,0,0.009661417
761,5,290997,0,0.010882208
761,6,290997,0,0.011321084
761,7,290997,0,0.011884709
761,8,290997,0,0.094809542
761,9,290997,0,0.01148125
761,10,290997,0,0.011216792
771,1,298505,0,0.012120167
771,2,298505,0,0.011491334
771,3,298505,0,0.01188425
771,4,298505,0,0.011004542
771,5,298505,0,0.009876625
771,6,298505,0,0.085444167
771,7,298505,0,0.010685417
771,8,298505,0,0.012096083
771,9,298505,0,0.01089925
771,10,298505,0,0.012092
781,1,306741,0,0.0112695
781,2,306741,0,0.011542458
781,3,306741,0,0.010889333
781,4,306741,0,0.081327333
781,5,306741,0,0.010689833
781,6,306741,0,0.009870541
781,7,306741,0,0.009603125
781,8,306741,0,0.010704167
781,9,306741,0,0.01061
781,10,306741,0,0.010410833
791,1,314731,0,0.011226583
791,2,314731,0,0.018178
791,3,314731,0,0.087568834
791,4,314731,0,0.012110208
791,5,314731,0,0.012472875
791,6,314731,0,0.012182833
791,7,314731,0,0.012141958
791,8,314731,0,0.012685542
791,9,314731,0,0.013151958
791,10,314731,0,0.01165875
801,1,322392,0,0.096514458
801,2,322392,0,0.013370792
801,3,322392,0,0.013514917
801,4,322392,0,0.012593084
801,5,322392,0,0.011882916
801,6,322392,0,0.012213083
801,7,322392,0,0.011796792
801,8,322392,0,0.012515458
801,9,322392,0,0.081249958
801,10,322392,0,0.011506458
811,1,331083,0,0.012256042
811,2,331083,0,0.0111535
811,3,331083,0,0.010975959
811,4,331083,0,0.012134625
811,5,331083,0,0.011277834
811,6,331083,0,0.01202975
811,7,331083,0,0.094759458
811,8,331083,0,0.01323525
811,9,331083,0,0.013513792
811,10,331083,0,0.037558792
821,1,339214,0,0.013792709
821,2,339214,0,0.0137995
821,3,339214,0,0.01390075
821,4,339214,0,0.090976833
821,5,339214,0,0.014148875
821,6,339214,0,0.013534458
821,7,339214,0,0.013611167
821,8,339214,0,0.013684
821,9,339214,0,0.012362
821,10,339214,0,0.011670916
831,1,346763,0,0.012338125
831,2,346763,0,0.078717833
831,3,346763,0,0.014671292
831,4,346763,0,0.014401042
831,5,346763,0,0.018682417
831,6,346763,0,0.016730625
831,7,346763,0,0.01800725
831,8,346763,0,0.023011667
831,9,346763,0,0.09254975
831,10,346763,0,0.014560833
841,1,355741,0,0.014454125
841,2,355741,0,0.01502775
841,3,355741,0,0.013349167
841,4,355741,0,0.012547875
841,5,355741,0,0.012669084
841,6,355741,0,0.079258625
841,7,355741,0,0.012853333
841,8,355741,0,0.013010541
841,9,355741,0,0.012801333
841,10,355741,0,0.012658625
851,1,364407,0,0.013230584
851,2,364407,0,0.018972417
851,3,364407,0,0.080434459
851,4,364407,0,0.013074
851,5,364407,0,0.013703917
851,6,364407,0,0.012747583
851,7,364407,0,0.013813416
851,8,364407,0,0.012534334
851,9,364407,0,0.083359334
851,10,364407,0,0.012643
861,1,372793,0,0.013050375
861,2,372793,0,0.013341375
861,3,372793,0,0.013299042
861,4,372793,0,0.013185875
861,5,372793,0,0.013159625
861,6,372793,0,0.0836925
861,7,372793,0,0.012805334
861,8,372793,0,0.012650458
861,9,372793,0,0.012571417
861,10,372793,0,0.012693667
871,1,381472,0,0.01366725
871,2,381472,0,0.018832042
871,3,381472,0,0.079665333
871,4,381472,0,0.01297775
871,5,381472,0,0.012859416
871,6,381472,0,0.01284525
871,7,381472,0,0.013534375
871,8,381472,0,0.018456042
871,9,381472,0,0.01225175
871,10,381472,0,0.012232458
881,1,389942,0,0.018849167
881,2,389942,0,0.012787709
881,3,389942,0,0.013397542
881,4,389942,0,0.013258667
881,5,389942,0,0.082876959
881,6,389942,0,0.013341875
881,7,389942,0,0.013476667
881,8,389942,0,0.013151084
881,9,389942,0,0.013085
881,10,389942,0,0.013436625
891,1,398783,0,0.084774042
891,2,398783,0,0.014298375
891,3,398783,0,0.014992125
891,4,398783,0,0.014095833
891,5,398783,0,0.014177959
891,6,398783,0,0.013419334
891,7,398783,0,0.076644792
891,8,398783,0,0.013576375
891,9,398783,0,0.013408833
891,10,398783,0,0.013792708
901,1,407749,0,0.01575925
901,2,407749,0,0.014248709
901,3,407749,0,0.083863208
901,4,407749,0,0.014246583
901,5,407749,0,0.0139615
901,6,407749,0,0.013682875
901,7,407749,0,0.014521958
901,8,407749,0,0.020078916
901,9,407749,0,0.014604042
901,10,407749,0,0.013750958
911,1,416818,0,0.01419375
911,2,416818,0,0.015130209
911,3,416818,0,0.015096459
911,4,416818,0,0.082876667
911,5,416818,0,0.01440675
911,6,416818,0,0.014045292
911,7,416818,0,0.014188
911,8,416818,0,0.014803709
911,9,416818,0,0.014541792
911,10,416818,0,0.084031625
921,1,426270,0,0.014890583
921,2,426270,0,0.015116792
921,3,426270,0,0.0150665
921,4,426270,0,0.015413375
921,5,426270,0,0.084024792
